COUNTRY,DATE,CPI_VALUE,EXCHANGE_RATE,INTEREST_RATE,CPI_lag_1,CPI_lag_3,CPI_lag_6,CPI_roll_3,ER_lag_1,ER_lag_3,ER_lag_6,ER_roll_3,IR_lag_1,IR_lag_3,IR_lag_6,IR_roll_3
Philippines,2022-02-01,111.8,51.2806666666667,2.0,111.7,110.2,109.4,110.8,51.2352857142857,50.35705,50.2343333333333,50.613381746031735,2.0,2.0,2.0,2.0
Philippines,2022-03-01,112.5,52.0739565217391,2.0,111.8,110.5,109.3,111.33333333333333,51.2806666666667,50.2478095238095,50.1421363636364,50.92125396825397,2.0,2.0,2.0,2.0
Philippines,2022-04-01,113.4,51.976,2.0,112.5,111.7,109.5,112.0,52.0739565217391,51.2352857142857,50.7491428571429,51.5299696342305,2.0,2.0,2.0,2.0
Philippines,2022-05-01,113.9,52.36175,2.25,113.4,111.8,110.2,112.56666666666666,51.976,51.2806666666667,50.35705,51.77687439613526,2.0,2.0,2.0,2.0
Philippines,2022-06-01,114.9,53.5685454545455,2.5,113.9,112.5,110.5,113.26666666666667,52.36175,52.0739565217391,50.2478095238095,52.137235507246366,2.25,2.0,2.0,2.0833333333333335
Philippines,2022-07-01,115.8,55.8925238095238,3.25,114.9,113.4,111.7,114.06666666666666,53.5685454545455,51.976,51.2352857142857,52.635431818181836,2.5,2.0,2.0,2.25
Philippines,2022-08-01,116.3,55.7500952380952,3.75,115.8,113.9,111.8,114.86666666666667,55.8925238095238,52.36175,51.2806666666667,53.94093975468977,3.25,2.25,2.0,2.6666666666666665
Philippines,2022-09-01,116.8,57.4337619047619,4.25,116.3,114.9,112.5,115.66666666666667,55.7500952380952,53.5685454545455,52.0739565217391,55.07038816738817,3.75,2.5,2.0,3.1666666666666665
Philippines,2022-10-01,117.9,58.8247,4.25,116.8,115.8,113.4,116.3,57.4337619047619,55.8925238095238,51.976,56.358793650793636,4.25,3.25,2.0,3.75
Philippines,2022-11-01,119.0,57.65225,5.0,117.9,116.3,113.9,117.0,58.8247,55.7500952380952,52.36175,57.336185714285705,4.25,3.75,2.25,4.083333333333333
Philippines,2022-12-01,119.4,55.6838947368421,5.5,119.0,116.8,114.9,117.89999999999999,57.65225,57.4337619047619,53.5685454545455,57.970237301587304,5.0,4.25,2.5,4.5
Philippines,2023-01-01,121.4,54.9912857142857,5.5,119.4,117.9,115.8,118.76666666666667,55.6838947368421,58.8247,55.8925238095238,57.386948245614036,5.5,4.25,3.25,4.916666666666667
Philippines,2023-02-01,121.4,54.7830526315789,6.0,121.4,119.0,116.3,119.93333333333334,54.9912857142857,57.65225,55.7500952380952,56.10914348370927,5.5,5.0,3.75,5.333333333333333
Philippines,2023-03-01,121.1,54.7955652173913,6.25,121.4,119.4,116.8,120.73333333333335,54.7830526315789,55.6838947368421,57.4337619047619,55.15274436090223,6.0,5.5,4.25,5.666666666666667
Philippines,2023-04-01,120.9,55.3155,6.25,121.1,121.4,117.9,121.3,54.7955652173913,54.9912857142857,58.8247,54.856634521085304,6.25,5.5,4.25,5.916666666666667
Philippines,2023-05-01,120.9,55.7278636363636,6.25,120.9,121.4,119.0,121.13333333333333,55.3155,54.7830526315789,57.65225,54.964705949656725,6.25,6.0,5.0,6.166666666666667
Philippines,2023-06-01,121.1,55.89455,6.25,120.9,121.1,119.4,120.96666666666665,55.7278636363636,54.7955652173913,55.6838947368421,55.27964295125164,6.25,6.25,5.5,6.25
Philippines,2023-07-01,121.2,54.92105,6.25,121.1,120.9,121.4,120.96666666666665,55.89455,55.3155,54.9912857142857,55.6459712121212,6.25,6.25,5.5,6.25
Philippines,2023-08-01,122.5,56.1598571428571,6.25,121.2,120.9,121.4,121.06666666666666,54.92105,55.7278636363636,54.7830526315789,55.51448787878787,6.25,6.25,6.0,6.25
Philippines,2023-09-01,123.9,56.7869,6.25,122.5,121.1,121.1,121.60000000000001,56.1598571428571,55.89455,54.7955652173913,55.658485714285696,6.25,6.25,6.25,6.25
Philippines,2023-10-01,123.7,56.7888571428571,6.5,123.9,121.2,120.9,122.53333333333335,56.7869,54.92105,55.3155,55.955935714285694,6.25,6.25,6.25,6.25
Philippines,2023-11-01,123.9,55.8122105263158,6.5,123.7,122.5,120.9,123.36666666666667,56.7888571428571,56.1598571428571,55.7278636363636,56.578538095238066,6.5,6.25,6.25,6.333333333333333
